ville,nom,marque,annee,places,prix_par_jour,agence,localisation,image_url_1,image_url_2,image_url_3,image_url_4
Casablanca,Audi A3,Audi,2023,5,1200,Just Here Car Rental,"Casablanca Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Audi-A3-2023_37262_36938579284-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_A3_2023_36973_36973_2969651109-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_A3_2023_36973_36973_29696520148-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_A3_2023_36973_36973_296965603-1_small.jpg
Casablanca,Volkswagen Golf,Volkswagen,2024,5,1040,Imad Cars,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Volkswagen_Golf_2024_31819_31819_25901398813-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Golf_2024_31819_31819_25901358743-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Golf_2024_31819_31819_25901318953-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Golf_2024_31819_31819_2590166090-4_small.jpg
Casablanca,Audi Q3,Audi,2023,5,1430,Imad Cars,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Audi_Q3_2023_31811_31811_25900761857-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_Q3_2023_31811_31811_25900720150-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_Q3_2023_31811_31811_25900796207-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_Q3_2023_31811_31811_25900739971-1_small.jpg
Casablanca,Renault Clio,Renault,2023,5,450,Multi Rent Car Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Renault_Clio_2023_31783_31783_25888742505-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Renault_Clio_2023_31783_31783_25888776907-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Renault_Clio_2023_31783_31783_2588871105-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Renault_Clio_2023_31783_31783_25888764825-1_small.jpg
Casablanca,Hyundai Tucson,Hyundai,2023,5,590,Multi Rent Car Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_31775_31775_25887968518-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_31775_31775_25887964571-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_31775_31775_25888254270-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_31775_31775_25888347062-3_small.jpg
Casablanca,Mercedes Benz G63 AMG,Mercedes,2023,5,11000,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_G63-AMG_2023_32249_32249_26299845096-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_G63-AMG_2023_32249_32249_26300019788-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_G63-AMG_2023_32249_32249_26299850517-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_G63-AMG_2023_32249_32249_26300175712-4_small.jpg
Casablanca,Fiat 500C,Fiat,2023,5,520,Multi Rent Car Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_31757_31757_25880047574-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_31757_31757_25880019316-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_31757_31757_25880089786-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_31757_31757_25880157139-2_small.jpg
Casablanca,Dacia Duster,Dacia,2024,5,450,Multi Rent Car Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Dacia_Duster_2024_31749_31749_25877918081-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Dacia_Duster_2024_31749_31749_25877954072-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Dacia_Duster_2024_31749_31749_25877964354-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Dacia_Duster_2024_31749_31749_25877933677-1_small.jpg
Casablanca,Kia Sportage,Kia,2024,5,580,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Kia_Sportage_2024_32085_32085_26150264480-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Kia_Sportage_2024_32085_32085_26150267304-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Kia_Sportage_2024_32085_32085_26150274677-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Kia_Sportage_2024_32085_32085_26150854628-7_small.jpg
Casablanca,Mercedes Benz Vito,Mercedes,2024,5,2340,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_Vito_2024_32233_32233_2625019816-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_Vito_2024_32233_32233_26250268102-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_Vito_2024_32233_32233_26250216150-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_Vito_2024_32233_32233_26249981875-1_small.jpg
